字段名,标签,类型,实例数,页码,标签来源
"fill_1_P","建議採用的公司英文名稱 / Proposed English Company Name","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_2_P","建議採用的公司中文名稱 / Proposed Chinese Company Name","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"cb_1_P","私人 / Private","button",10,"1,4,5,6,7,10,11,12,13,14","manual"
"cb_2_P","公眾 / Public","button",5,"1,7,12,13,14","manual"
"cb_2_P.6","其他選項 / Other Option","button",1,"6","manual"
"fill_3_P","編碼 / Code","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_4_P","描述 / Description","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_5_P","公司在香港的註冊辦事處地址 / Address of registered office of the company in Hong Kong","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_6_P","公司在香港的註冊辦事處地址（續）","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_7_P","公司在香港的註冊辦事處地址（續）","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_8_P","公司在香港的註冊辦事處地址（續）","text",14,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","manual"
"fill_9_P","姓名（中文）/ Name (in Chinese)","text",13,"1,2,3,4,5,6,7,9,10,11,12,13,14","manual"
"fill_10_P","姓名（英文）/ Name (in English)","text",13,"1,2,3,4,5,6,7,9,10,11,12,13,14","manual"
"fill_11_P","香港聯絡電話號碼 / Hong Kong Contact Telephone Number","text",9,"1,2,3,4,6,9,10,12,14","manual"
"fill_12_P","電郵地址 / Email Address","text",9,"1,2,3,4,6,9,10,12,14","manual"
"fill_13_P","通常住址 / Usual Residential Address","text",9,"1,2,3,4,6,9,10,12,14","manual"
"fill_14_P","通常住址（續）","text",8,"1,2,3,4,6,9,10,12","manual"
"fill_15_P","通常住址（續）","text",8,"1,2,3,4,6,9,10,12","manual"
"fill_16_P","香港身分證部分號碼 / Partial Number of Hong Kong Identity Card","text",7,"2,3,4,6,9,10,12","manual"
"fill_17_P","護照號碼 / Passport Number","text",5,"2,3,4,9,10","manual"
"fill_18_P","發證國家/地區 / Country/Place of Issue","text",3,"2,3,9","manual"
"fill_19_P","發證日期 / Date of Issue","text",3,"2,3,9","manual"
"fill_20_P","到期日 / Expiry Date","text",3,"2,3,9","manual"
"fill_21_P","身分識別號碼 / Identification Number","text",3,"2,3,9","manual"
"fill_22_P","發證國家/地區 / Country/Place of Issue","text",3,"2,3,9","manual"
"fill_23_P","簽署 / Signature","text",1,"2","manual"
"fill_24_P","日期 / Date","text",1,"2","manual"
"fill_25_P","備註 / Remarks","text",1,"2","manual"
"Dropdown_1_P.7","國籍選擇 / Nationality Selection","choice",2,"7,7","manual"
"Dropdown_1_P.13","國籍選擇 / Nationality Selection","choice",2,"13,13","manual"
"Dropdown_2_P.7","職業選擇 / Occupation Selection","choice",2,"7,7","manual"
"Dropdown_2_P.13","職業選擇 / Occupation Selection","choice",2,"13,13","manual"
"Dropdown_3_P.7","類別選擇 / Category Selection","choice",2,"7,7","manual"
"Dropdown_3_P.13","類別選擇 / Category Selection","choice",2,"13,13","manual"
